Interval*, Id_From*, Id_To*, Category_name_from, Category_name_To, Number_of_pixels, 
13, 1, 1, Forest, Forest, 290668, 
13, 1, 2, Forest, Other Vegetation, 755, 
13, 1, 3, Forest, Cropland, 69, 
13, 1, 4, Forest, Non-Forest, 0, 
13, 2, 1, Other Vegetation, Forest, 66, 
13, 2, 2, Other Vegetation, Other Vegetation, 147952, 
13, 2, 3, Other Vegetation, Cropland, 34, 
13, 2, 4, Other Vegetation, Non-Forest, 4, 
13, 3, 1, Cropland, Forest, 0, 
13, 3, 2, Cropland, Other Vegetation, 0, 
13, 3, 3, Cropland, Cropland, 24040, 
13, 3, 4, Cropland, Non-Forest, 1, 
13, 4, 1, Non-Forest, Forest, 9, 
13, 4, 2, Non-Forest, Other Vegetation, 1, 
13, 4, 3, Non-Forest, Cropland, 2, 
13, 4, 4, Non-Forest, Non-Forest, 9721, 
14, 1, 1, Forest, Forest, 290505, 
14, 1, 2, Forest, Other Vegetation, 214, 
14, 1, 3, Forest, Cropland, 24, 
14, 1, 4, Forest, Non-Forest, 0, 
14, 2, 1, Other Vegetation, Forest, 174, 
14, 2, 2, Other Vegetation, Other Vegetation, 148487, 
14, 2, 3, Other Vegetation, Cropland, 47, 
14, 2, 4, Other Vegetation, Non-Forest, 0, 
14, 3, 1, Cropland, Forest, 0, 
14, 3, 2, Cropland, Other Vegetation, 0, 
14, 3, 3, Cropland, Cropland, 24143, 
14, 3, 4, Cropland, Non-Forest, 2, 
14, 4, 1, Non-Forest, Forest, 5, 
14, 4, 2, Non-Forest, Other Vegetation, 0, 
14, 4, 3, Non-Forest, Cropland, 0, 
14, 4, 4, Non-Forest, Non-Forest, 9721, 
15, 1, 1, Forest, Forest, 289928, 
15, 1, 2, Forest, Other Vegetation, 732, 
15, 1, 3, Forest, Cropland, 24, 
15, 1, 4, Forest, Non-Forest, 0, 
15, 2, 1, Other Vegetation, Forest, 168, 
15, 2, 2, Other Vegetation, Other Vegetation, 148469, 
15, 2, 3, Other Vegetation, Cropland, 62, 
15, 2, 4, Other Vegetation, Non-Forest, 2, 
15, 3, 1, Cropland, Forest, 4, 
15, 3, 2, Cropland, Other Vegetation, 0, 
15, 3, 3, Cropland, Cropland, 24209, 
15, 3, 4, Cropland, Non-Forest, 1, 
15, 4, 1, Non-Forest, Forest, 12, 
15, 4, 2, Non-Forest, Other Vegetation, 1, 
15, 4, 3, Non-Forest, Cropland, 1, 
15, 4, 4, Non-Forest, Non-Forest, 9709, 
16, 1, 1, Forest, Forest, 289550, 
16, 1, 2, Forest, Other Vegetation, 544, 
16, 1, 3, Forest, Cropland, 18, 
16, 1, 4, Forest, Non-Forest, 0, 
16, 2, 1, Other Vegetation, Forest, 166, 
16, 2, 2, Other Vegetation, Other Vegetation, 148960, 
16, 2, 3, Other Vegetation, Cropland, 76, 
16, 2, 4, Other Vegetation, Non-Forest, 0, 
16, 3, 1, Cropland, Forest, 18, 
16, 3, 2, Cropland, Other Vegetation, 1, 
16, 3, 3, Cropland, Cropland, 24276, 
16, 3, 4, Cropland, Non-Forest, 1, 
16, 4, 1, Non-Forest, Forest, 4, 
16, 4, 2, Non-Forest, Other Vegetation, 1, 
16, 4, 3, Non-Forest, Cropland, 0, 
16, 4, 4, Non-Forest, Non-Forest, 9707, 
17, 1, 1, Forest, Forest, 288849, 
17, 1, 2, Forest, Other Vegetation, 853, 
17, 1, 3, Forest, Cropland, 36, 
17, 1, 4, Forest, Non-Forest, 0, 
17, 2, 1, Other Vegetation, Forest, 104, 
17, 2, 2, Other Vegetation, Other Vegetation, 149394, 
17, 2, 3, Other Vegetation, Cropland, 8, 
17, 2, 4, Other Vegetation, Non-Forest, 0, 
17, 3, 1, Cropland, Forest, 2, 
17, 3, 2, Cropland, Other Vegetation, 12, 
17, 3, 3, Cropland, Cropland, 24354, 
17, 3, 4, Cropland, Non-Forest, 2, 
17, 4, 1, Non-Forest, Forest, 25, 
17, 4, 2, Non-Forest, Other Vegetation, 0, 
17, 4, 3, Non-Forest, Cropland, 1, 
17, 4, 4, Non-Forest, Non-Forest, 9682, 
18, 1, 1, Forest, Forest, 287573, 
18, 1, 2, Forest, Other Vegetation, 1309, 
18, 1, 3, Forest, Cropland, 98, 
18, 1, 4, Forest, Non-Forest, 0, 
18, 2, 1, Other Vegetation, Forest, 107, 
18, 2, 2, Other Vegetation, Other Vegetation, 150116, 
18, 2, 3, Other Vegetation, Cropland, 35, 
18, 2, 4, Other Vegetation, Non-Forest, 1, 
18, 3, 1, Cropland, Forest, 3, 
18, 3, 2, Cropland, Other Vegetation, 2, 
18, 3, 3, Cropland, Cropland, 24392, 
18, 3, 4, Cropland, Non-Forest, 2, 
18, 4, 1, Non-Forest, Forest, 1, 
18, 4, 2, Non-Forest, Other Vegetation, 0, 
18, 4, 3, Non-Forest, Cropland, 0, 
18, 4, 4, Non-Forest, Non-Forest, 9683, 
19, 1, 1, Forest, Forest, 286485, 
19, 1, 2, Forest, Other Vegetation, 1044, 
19, 1, 3, Forest, Cropland, 155, 
19, 1, 4, Forest, Non-Forest, 0, 
19, 2, 1, Other Vegetation, Forest, 42, 
19, 2, 2, Other Vegetation, Other Vegetation, 151363, 
19, 2, 3, Other Vegetation, Cropland, 22, 
19, 2, 4, Other Vegetation, Non-Forest, 0, 
19, 3, 1, Cropland, Forest, 5, 
19, 3, 2, Cropland, Other Vegetation, 18, 
19, 3, 3, Cropland, Cropland, 24501, 
19, 3, 4, Cropland, Non-Forest, 1, 
19, 4, 1, Non-Forest, Forest, 8, 
19, 4, 2, Non-Forest, Other Vegetation, 1, 
19, 4, 3, Non-Forest, Cropland, 1, 
19, 4, 4, Non-Forest, Non-Forest, 9676, 
20, 1, 1, Forest, Forest, 286361, 
20, 1, 2, Forest, Other Vegetation, 172, 
20, 1, 3, Forest, Cropland, 7, 
20, 1, 4, Forest, Non-Forest, 0, 
20, 2, 1, Other Vegetation, Forest, 63, 
20, 2, 2, Other Vegetation, Other Vegetation, 152146, 
20, 2, 3, Other Vegetation, Cropland, 214, 
20, 2, 4, Other Vegetation, Non-Forest, 3, 
20, 3, 1, Cropland, Forest, 1, 
20, 3, 2, Cropland, Other Vegetation, 0, 
20, 3, 3, Cropland, Cropland, 24674, 
20, 3, 4, Cropland, Non-Forest, 4, 
20, 4, 1, Non-Forest, Forest, 1, 
20, 4, 2, Non-Forest, Other Vegetation, 0, 
20, 4, 3, Non-Forest, Cropland, 0, 
20, 4, 4, Non-Forest, Non-Forest, 9676, 
22, 1, 1, Forest, Forest, 284878, 
22, 1, 2, Forest, Other Vegetation, 974, 
22, 1, 3, Forest, Cropland, 100, 
22, 1, 4, Forest, Non-Forest, 2, 
22, 2, 1, Other Vegetation, Forest, 48, 
22, 2, 2, Other Vegetation, Other Vegetation, 152633, 
22, 2, 3, Other Vegetation, Cropland, 23, 
22, 2, 4, Other Vegetation, Non-Forest, 7, 
22, 3, 1, Cropland, Forest, 27, 
22, 3, 2, Cropland, Other Vegetation, 7, 
22, 3, 3, Cropland, Cropland, 24890, 
22, 3, 4, Cropland, Non-Forest, 26, 
22, 4, 1, Non-Forest, Forest, 1, 
22, 4, 2, Non-Forest, Other Vegetation, 0, 
22, 4, 3, Non-Forest, Cropland, 0, 
22, 4, 4, Non-Forest, Non-Forest, 9706, 
