Reference,Year_Published,Study_Area,Time_Point,Areal_Extent_Km2
"Gaw et al., 2018",2018,Tanintharyi,1989,2588.00
"Gaw et al., 2018",2018,Tanintharyi,2014,2506.00
"Estoque et al., 2018",2018,Myanmar,2000,6667.59
"Estoque et al., 2018",2018,Myanmar,2014,4756.37
"Estoque et al., 2018",2018,Ayeyarwady,2000,1739.93
"Estoque et al., 2018",2018,Ayeyarwady,2014,1045.62
"Estoque et al., 2018",2018,Mon,2000,80.61
"Estoque et al., 2018",2018,Mon,2014,25.26
"Estoque et al., 2018",2018,Rakhine,2000,2047.85
"Estoque et al., 2018",2018,Rakhine,2014,1292.91
"Estoque et al., 2018",2018,Tanintharyi,2000,2774.36
"Estoque et al., 2018",2018,Tanintharyi,2014,2377.97
"Estoque et al., 2018",2018,Yangon,2000,24.85
"Estoque et al., 2018",2018,Yangon,2014,14.61
"De Alban et al., 2018",2018,Tanintharyi,1995,3511.00
"De Alban et al., 2018",2018,Tanintharyi,2015,3428.00
"Connette et al., 2016",2016,Tanintharyi,2016,2430.00
"Weber et al., 2014",2014,Tanintharyi,2000,2075.00
"Weber et al., 2014",2014,Tanintharyi,2013,2040.00
"Weber et al., 2014",2014,Rakhine,2000,1734.00
"Weber et al., 2014",2014,Rakhine,2013,1470.00
"Weber et al., 2014",2014,Ayeyarwady,2000,818.00
"Weber et al., 2014",2014,Ayeyarwady,2013,462.00
"Maung, 2012",2012,Ayeyarwady,1980,2964.42
"Maung, 2012",2012,Ayeyarwady,2007,248.47
"Maung, 2012",2012,Rakhine,1980,1674.79
"Maung, 2012",2012,Rakhine,2007,975.16
"Maung, 2012",2012,Tanintharyi,1980,1950.99
"Maung, 2012",2012,Tanintharyi,2007,1900.73
"Blasco et al., 2001",2001,Myanmar,2000,6900.00
"IUCN, 1983",1983,Myanmar,1983,5170.00
"Spalding et al., 1997",1997,Myanmar,1997,3790.00
"Blasco & Aizpuru, 2002",2000,Myanmar,2000,6950.00
"Richards & Friess, 2015",2015,Myanmar,2000,5024.66
"Richards & Friess, 2015",2015,Myanmar,2012,4746.80
"Giri et al., 2008",2008,Myanmar,1975,8514.52
"Giri et al., 2008",2008,Myanmar,2005,5513.61
"FAO, 2010",2010,Myanmar,2009,4379.31
"Zockler et al., 2013",2013,Ayeyarwady,2001,1100.00
"FAO, 2010",2010,Ayeyarwady,2005,834.00
"Oo, 2002",2002,Myanmar,1954,2345.15
"Oo, 2002",2002,Myanmar,1984,1786.42
"Webb et al., 2014",2014,Ayeyarwady,1978,2623.00
"Webb et al., 2014",2014,Ayeyarwady,1989,2138.00
"Webb et al., 2014",2014,Ayeyarwady,2000,1198.00
"Webb et al., 2014",2014,Ayeyarwady,2008,933.00
"Webb et al., 2014",2014,Ayeyarwady,2009,918.00
"Webb et al., 2014",2014,Ayeyarwady,2011,938.00
This study,2019,Myanmar,1996,12381.00
This study,2019,Myanmar,2007,7438.00
This study,2019,Myanmar,2016,6574.00
This study,2019,Ayeyarwady,1996,4150.00
This study,2019,Ayeyarwady,2007,2325.00
This study,2019,Ayeyarwady,2016,2129.00
This study,2019,Bago,1996,268.00
This study,2019,Bago,2007,152.00
This study,2019,Bago,2016,47.00
This study,2019,Mon,1996,535.00
This study,2019,Mon,2007,157.00
This study,2019,Mon,2016,104.00
This study,2019,Rakhine,1996,2973.00
This study,2019,Rakhine,2007,1632.00
This study,2019,Rakhine,2016,1448.00
This study,2019,Tanintharyi,1996,4253.00
This study,2019,Tanintharyi,2007,3069.00
This study,2019,Tanintharyi,2016,2789.00
This study,2019,Yangon,1996,202.00
This study,2019,Yangon,2007,104.00
This study,2019,Yangon,2016,57.00