Category,Interval,Change,AreaKm2
BRG,1996-2007,Loss,97.8534
BUA,1996-2007,Loss,30.1356
FOR,1996-2007,Loss,1140.4665
OPM,1996-2007,Loss,514.1448
RPD,1996-2007,Loss,3614.6862
RBR,1996-2007,Loss,355.9581
SHB,1996-2007,Loss,245.4633
WTR,1996-2007,Loss,207.5292
BRG,1996-2007,Gain,10.1259
BUA,1996-2007,Gain,4.0869
FOR,1996-2007,Gain,148.0914
OPM,1996-2007,Gain,15.6177
RPD,1996-2007,Gain,916.2621
RBR,1996-2007,Gain,1.1187
SHB,1996-2007,Gain,5.967
WTR,1996-2007,Gain,162.378
BRG,2007-2016,Loss,58.527
BUA,2007-2016,Loss,5.7492
FOR,2007-2016,Loss,163.3005
OPM,2007-2016,Loss,383.8221
RPD,2007-2016,Loss,1359.3159
RBR,2007-2016,Loss,20.1249
SHB,2007-2016,Loss,1.1097
WTR,2007-2016,Loss,363.2634
BRG,2007-2016,Gain,30.7458
BUA,2007-2016,Gain,6.4251
FOR,2007-2016,Gain,163.3005
OPM,2007-2016,Gain,34.7445
RPD,2007-2016,Gain,1034.2998
RBR,2007-2016,Gain,5.184
SHB,2007-2016,Gain,54.5013
WTR,2007-2016,Gain,76.239