Interval*,Id*,Category_Name,Observed_Annual_Loss_number_of_elements,Loss_Intensity_percent_of_t1_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Loss_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t1_category,Omission_Intensity_percent_of_t1_category
1,1,Forest,0,0.00,0.00,0,0,0.00,0.00
1,2,Other Vegetation,0,0.00,0.00,0,0,0.00,0.00
1,3,Cropland,0,0.00,0.00,0,0,0.00,0.00
1,4,Non-Forest,0,0.00,0.00,0,0,0.00,0.00
2,1,Forest,0,0.00,0.00,1,1,0.00,100.00
2,2,Other Vegetation,0,0.00,0.00,0,0,0.00,100.00
2,3,Cropland,1,0.01,0.00,0,1,96.33,0.00
2,4,Non-Forest,0,0.00,0.00,0,0,0.00,100.00
3,1,Forest,2645,0.73,0.67,2424,221,8.37,0.00
3,2,Other Vegetation,279,0.33,0.67,561,282,0.00,50.25
3,3,Cropland,5,0.03,0.67,117,112,0.00,95.72
3,4,Non-Forest,238,2.39,0.67,66,172,72.44,0.00
4,1,Forest,816,0.23,0.18,656,160,19.59,0.00
4,2,Other Vegetation,36,0.04,0.18,154,118,0.00,76.70
4,3,Cropland,0,0.00,0.18,35,35,0.00,100.00
4,4,Non-Forest,11,0.11,0.18,18,7,0.00,38.10
5,1,Forest,1547,0.43,0.34,1209,338,21.82,0.00
5,2,Other Vegetation,47,0.06,0.34,288,241,0.00,83.66
5,3,Cropland,1,0.01,0.34,65,64,0.00,98.46
5,4,Non-Forest,0,0.00,0.34,33,33,0.00,100.00
6,1,Forest,7292,2.04,1.57,5600,1692,23.20,0.00
6,2,Other Vegetation,149,0.17,1.57,1374,1225,0.00,89.16
6,3,Cropland,0,0.00,1.57,316,316,0.00,100.00
6,4,Non-Forest,5,0.05,1.57,155,150,0.00,96.78
7,1,Forest,5480,1.56,1.17,4097,1383,25.24,0.00
7,2,Other Vegetation,75,0.08,1.17,1093,1018,0.00,93.14
7,3,Cropland,1,0.00,1.17,251,250,0.00,99.60
7,4,Non-Forest,0,0.00,1.17,116,116,0.00,100.00
8,1,Forest,13016,3.77,2.77,9459,3557,27.33,0.00
8,2,Other Vegetation,96,0.10,2.77,2759,2663,0.00,96.52
8,3,Cropland,3,0.01,2.77,620,617,0.00,99.52
8,4,Non-Forest,0,0.00,2.77,277,277,0.00,100.00
9,1,Forest,10743,3.24,2.31,7608,3135,29.18,0.00
9,2,Other Vegetation,194,0.18,2.31,2580,2386,0.00,92.48
9,3,Cropland,0,0.00,2.31,534,534,0.00,100.00
9,4,Non-Forest,15,0.15,2.31,230,215,0.00,93.49
10,1,Forest,15321,4.77,3.25,10267,5054,32.99,0.00
10,2,Other Vegetation,51,0.04,3.25,4002,3951,0.00,98.73
10,3,Cropland,0,0.00,3.25,776,776,0.00,100.00
10,4,Non-Forest,0,0.00,3.25,327,327,0.00,100.00
11,1,Forest,1482,0.48,0.35,1084,398,26.88,0.00
11,2,Other Vegetation,179,0.13,0.35,477,298,0.00,62.45
11,3,Cropland,18,0.08,0.35,84,66,0.00,78.57
11,4,Non-Forest,0,0.00,0.35,35,35,0.00,100.00
12,1,Forest,13099,4.30,2.79,8369,4730,36.11,0.00
12,2,Other Vegetation,111,0.08,2.79,3882,3771,0.00,97.14
12,3,Cropland,1,0.00,2.79,681,680,0.00,99.85
12,4,Non-Forest,0,0.00,2.79,279,279,0.00,100.00
13,1,Forest,824,0.28,0.20,579,245,29.73,0.00
13,2,Other Vegetation,104,0.07,0.20,295,191,0.00,64.71
13,3,Cropland,1,0.00,0.20,48,47,0.00,97.91
13,4,Non-Forest,12,0.12,0.20,19,7,0.00,38.03
14,1,Forest,238,0.08,0.10,286,48,0.00,16.87
14,2,Other Vegetation,221,0.15,0.10,146,75,33.79,0.00
14,3,Cropland,2,0.01,0.10,24,22,0.00,91.59
14,4,Non-Forest,5,0.05,0.10,10,5,0.00,47.81
15,1,Forest,756,0.26,0.21,618,138,18.24,0.00
15,2,Other Vegetation,232,0.16,0.21,317,85,0.00,26.71
15,3,Cropland,5,0.02,0.21,52,47,0.00,90.31
15,4,Non-Forest,14,0.14,0.21,21,7,0.00,32.37
16,1,Forest,562,0.19,0.18,508,54,9.60,0.00
16,2,Other Vegetation,242,0.16,0.18,261,19,0.00,7.41
16,3,Cropland,20,0.08,0.18,43,23,0.00,53.04
16,4,Non-Forest,5,0.05,0.18,17,12,0.00,70.64
17,1,Forest,889,0.31,0.22,638,251,28.24,0.00
17,2,Other Vegetation,112,0.07,0.22,330,218,0.00,66.05
17,3,Cropland,16,0.07,0.22,54,38,0.00,70.25
17,4,Non-Forest,26,0.27,0.22,21,5,17.76,0.00
18,1,Forest,1407,0.49,0.33,950,457,32.50,0.00
18,2,Other Vegetation,143,0.10,0.33,496,353,0.00,71.16
18,3,Cropland,7,0.03,0.33,81,74,0.00,91.31
18,4,Non-Forest,1,0.01,0.33,32,31,0.00,96.87
19,1,Forest,1199,0.42,0.27,787,412,34.35,0.00
19,2,Other Vegetation,64,0.04,0.27,416,352,0.00,84.61
19,3,Cropland,24,0.10,0.27,67,43,0.00,64.35
19,4,Non-Forest,10,0.10,0.27,27,17,0.00,62.39
20,1,Forest,179,0.06,0.10,282,103,0.00,36.44
20,2,Other Vegetation,280,0.18,0.10,150,130,46.57,0.00
20,3,Cropland,5,0.02,0.10,24,19,0.00,79.39
20,4,Non-Forest,1,0.01,0.10,10,9,0.00,89.49
21,1,Forest,524,0.18,0.13,370,154,29.48,0.00
21,2,Other Vegetation,62,0.04,0.13,197,135,0.00,68.50
21,3,Cropland,25,0.10,0.13,32,7,0.00,22.23
21,4,Non-Forest,0,0.00,0.13,13,13,0.00,100.00
22,1,Forest,1076,0.38,0.26,733,343,31.86,0.00
22,2,Other Vegetation,78,0.05,0.26,393,315,0.00,80.14
22,3,Cropland,60,0.24,0.26,64,4,0.00,6.33
22,4,Non-Forest,1,0.01,0.26,25,24,0.00,96.00
23,1,Forest,0,0.00,0.00,1,1,0.00,100.00
23,2,Other Vegetation,1,0.00,0.00,0,1,67.55,0.00
23,3,Cropland,0,0.00,0.00,0,0,0.00,100.00
23,4,Non-Forest,0,0.00,0.00,0,0,0.00,100.00